####,,,,,,,,,,,
##################,,"India Pollution levels, State wise, 2014-2015",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
stn_code,sampling_date,State_location,agency,type,p_value,so2,no2,pm2_rspm,location_monitoring_station,date,Year
SAMP,27-07-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,25,30,"pm2 30,rspm 62","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",7/27/2015 0:00,2015
SAMP,15-06-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,25,27,"pm2 29,rspm 83","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",6/15/2015 0:00,2015
252,16-01-14,"Gujarat,Ankleshwar",Gujarat State Pollution Control Board,Industrial Area,,25,18,"pm2 31,rspm 85",Rallis India Ltd. Ankaleshwar,1/16/2014 0:00,2014
82,23-11-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,25,14,"pm2 34,rspm 53","Chemical Division Labour Club, Nagda",11/23/2015 0:00,2015
691,26-12-15,"Odisha,Paradeep",Odisha State Pollution Control Board,Industrial Area,,25,12,"pm2 51,rspm 141",Over the STP of M/s IFFCO Ltd.,12/26/2015 0:00,2015
744,30-10-14,"Telangana,Sangareddy",Andhra Pradesh State Pollution Control Board,Industrial Area,,24.5,70.2,"pm2 101,rspm 180","APIIC Building, IDA, Pashamylaram",10/30/2014 0:00,2014
744,11/5/2014,"Telangana,Sangareddy",Andhra Pradesh State Pollution Control Board,Industrial Area,,24.4,76.1,"pm2 93,rspm 206","APIIC Building, IDA, Pashamylaram",5/11/2014 0:00,2014
744,11/1/2014,"Telangana,Sangareddy",Andhra Pradesh State Pollution Control Board,Industrial Area,,24.3,70.8,"pm2 na,rspm 213","APIIC Building, IDA, Pashamylaram",1/11/2014 0:00,2014
11,30-10-15,"West Bengal,Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",,24,60,"pm2 103,rspm 134","Bator, Howrah",10/30/2015 0:00,2015
11,9/12/2015,"West Bengal,Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",,24,61,"pm2 94,rspm 150","Bator, Howrah",12/9/2015 0:00,2015
11,6/12/2015,"West Bengal,Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",,24,51,"pm2 84,rspm 152","Bator, Howrah",12/6/2015 0:00,2015
11,10/5/2015,"West Bengal,Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",,24,58,"pm2 81,rspm 140","Bator, Howrah",5/10/2015 0:00,2015
SAMP,14-09-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,24,"pm2 42,rspm 83","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",9/14/2015 0:00,2015
SAMP,19-10-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,26,"pm2 40,rspm 85","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",10/19/2015 0:00,2015
SAMP,8/10/2015,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,25,"pm2 39,rspm 86","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",10/8/2015 0:00,2015
SAMP,19-11-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,25,"pm2 38,rspm 87","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",11/19/2015 0:00,2015
SAMP,6/8/2015,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,26,"pm2 37,rspm 89","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",8/6/2015 0:00,2015
SAMP,27-08-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,25,"pm2 37,rspm 79","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",8/27/2015 0:00,2015
SAMP,22-06-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,28,"pm2 36,rspm 80","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",6/22/2015 0:00,2015
SAMP,16-07-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,27,"pm2 36,rspm 83","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",7/16/2015 0:00,2015
SAMP,28-09-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,26,"pm2 36,rspm 85","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",9/28/2015 0:00,2015
SAMP,20-08-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,24,"pm2 36,rspm 88","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",8/20/2015 0:00,2015
SAMP,30-11-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,24,"pm2 36,rspm 81","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",11/30/2015 0:00,2015
SAMP,1/6/2015,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,26,"pm2 34,rspm 86","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",6/1/2015 0:00,2015
SAMP,29-06-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,26,"pm2 34,rspm 88","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",6/29/2015 0:00,2015
SAMP,3/8/2015,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,26,"pm2 34,rspm 85","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",8/3/2015 0:00,2015
SAMP,5/11/2015,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,26,"pm2 32,rspm 82","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",11/5/2015 0:00,2015
SAMP,2/7/2015,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,27,"pm2 31,rspm 83","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",7/2/2015 0:00,2015
SAMP,18-06-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,24,24,"pm2 31,rspm 85","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",6/18/2015 0:00,2015
253,13-01-14,"Gujarat,Ankleshwar",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,24,25,"pm2 29,rspm 92","Durga Traders, Bhavanafarm Society , Ankaleshwar",1/13/2014 0:00,2014
253,27-01-14,"Gujarat,Ankleshwar",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,24,23,"pm2 29,rspm 88","Durga Traders, Bhavanafarm Society , Ankaleshwar",1/27/2014 0:00,2014
82,28-12-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,24,16,"pm2 37.6,rspm 57","Chemical Division Labour Club, Nagda",12/28/2015 0:00,2015
82,22-10-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,24,14,"pm2 29,rspm 57","Chemical Division Labour Club, Nagda",10/22/2015 0:00,2015
744,2/10/2014,"Telangana,Sangareddy",Andhra Pradesh State Pollution Control Board,Industrial Area,,23.4,98,"pm2 64,rspm 189","APIIC Building, IDA, Pashamylaram",10/2/2014 0:00,2014
744,11/8/2014,"Telangana,Sangareddy",Andhra Pradesh State Pollution Control Board,Industrial Area,,23.4,69.5,"pm2 81,rspm 203","APIIC Building, IDA, Pashamylaram",8/11/2014 0:00,2014
